symbol	S01	S02	S03	S06	S08	S10	S11	S12	S14	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S29	S30	S31
MAPKAPK2	8.312	9.064	7.251	11.014	10.742	5.208	9.724	10.455	9.326	10.03	7.073	9.939	9.682	9.993	8.757	7.456	10.13	8.366	10.067	9.381	10.343	10.291	9.682	10.052
MARCO	7.251	7.213	7.314	7.584	7.32	7.653	6.863	7.327	7.475	8.288	7.058	7.475	7.745	6.06	7.127	7.32	6.125	8.571	7.656	9.467	7.213	6.318	8.702	7.028
MASP1	9.085	7.538	7.535	7.937	8.482	8.221	7.664	8.823	10.21	8.565	7.965	9.364	9.496	9.364	8.985	7.2	8.836	7.861	10.746	8.748	11.13	9.006	9.467	8.743
MASP2	8.635	11.47	9.624	7.558	10.622	7.992	8.663	9.833	10.237	8.542	7.988	10.262	11.047	11.421	9.624	8.617	9.859	8.86	8.91	10.547	8.729	10.251	11.599	8.119
MAVS	10.978	9.208	9.74	9.407	10.123	9.728	11.275	9.859	10.101	10.435	9.887	9.682	9.782	10.237	9.833	8.402	10.072	11.516	8.158	9.634	10.594	9.652	9.892	9.971
MBL2	5.251	6.01	6.506	8.418	8.558	7.14	7.095	6.295	10.818	9.283	6.611	9.257	10.196	9.528	9.74	5.242	7.299	6.892	7.24	10.412	8.3	9.828	10.535	8.333
MCAM	7.535	5.762	5.405	8.906	8.3	6.875	8.638	8.445	8.571	8.372	6.222	8.473	8.681	8.121	7.588	6.335	9.283	6.586	6.586	7.001	8.452	7.381	8.497	8.525
MEF2C	7.194	6.553	7.2	9.048	9.423	7.743	8.084	8.941	8.627	9.276	7.505	9.598	8.993	8.785	7.977	7.274	9.314	7.748	7.194	8.606	8.52	8.86	8.802	8.757
MEFV	7.598	6.281	7.088	5.9	8.76	7.437	6.748	7.839	7.525	5.632	6.869	8.092	7.27	7.493	6.652	7.417	7.018	7.442	7.054	7.012	6.516	6.12	7.317	8.163
MERTK	9.542	7.408	6.048	9.344	9.513	6.138	9.521	8.869	9.614	8.863	6.35	9.236	9.513	9.314	8.985	7.942	8.352	7.283	9.336	9.859	9.859	10.746	9.807	9.929
MFGE8	12.693	9.011	7.378	9.66	8.372	7.792	11.837	9.732	10.354	10.865	8.873	10.327	10.11	10.389	8.717	9.702	11.106	9.044	9.453	9.393	9.046	8.767	8.706	9.624
MICA	8.204	7.959	7.85	8.123	8.087	7.921	8.884	8.251	8.873	7.449	7.601	8.64	8.64	8.863	7.97	8.228	8.001	9.525	9.098	8.337	8.961	7.672	8.638	7.95
MICB	8.76	8.592	6.887	8.167	9.04	7.327	8.558	9.265	8.087	8.103	6.966	8.163	8.18	8.01	8.86	7.573	7.088	9.694	9.283	8.156	9.467	8.65	9.208	7.456
MIF	13.679	12.144	8.923	12.542	14.924	3.742	9.426	11.837	12.693	11.65	11.014	11.881	9.528	12.638	11.321	9.161	11.975	8.619	12.995	11.776	11.881	11.837	11.576	13.221
MME	8.218	9.965	9.5	10.015	8.622	9.41	7.758	8.075	7.601	7.548	9.294	6.102	7.525	9.107	7.8	8.402	7.581	9.14	7.858	7.806	8.441	11.089	9.364	7.898
MNX1	7.104	6.553	7.605	5.685	7.156	7.431	5.9	6.611	6.054	5.714	7.236	6.01	5.392	6.662	7.85	7.232	6.359	7.194	7.999	5.869	4.904	5.977	6.812	5.77
MPPED1	10.637	9.634	11.421	8.246	8.232	10.61	8.503	9.176	9.057	7.132	10.01	8.337	8.625	9.47	8.743	9.276	10.052	7.808	9.364	8.737	7.386	7.734	10.123	8.511
MR1	7.682	8.303	8.993	8.284	7.727	10.123	7.975	7.959	8.054	8.309	8.405	7.839	7.837	7.921	7.165	7.79	8.33	10.08	8.867	8.327	8.15	8.562	7.417	8.32
MRC1	6.713	6.211	6.335	8.067	8.729	4.28	8.438	8.455	8.836	8.973	5.762	8.895	9.261	8.9	8.511	5.242	8.105	5.315	5.844	8.785	8.69	8.783	9.221	8.978
MRPS5	10.826	10.291	10.498	10.938	11.304	11.624	11.368	10.865	10.8	10.522	10.622	10.139	10.402	10.88	10.08	9.977	10.041	11.541	10.938	10.622	10.903	10.833	10.851	11.47
MS4A1	6.974	7.548	7.892	5.967	5.392	7.522	6.713	5.869	6.273	8.638	7.396	8.123	7.788	6.533	6.35	6.919	7.352	5.815	6	5.785	6.415	6.863	6.468	6.301
MS4A2	7.255	7.426	8.512	6.775	4.844	8.239	6.799	6.591	7.088	7.023	8.056	5.435	6.415	6.359	6.595	7.046	6.799	7.453	6.611	6.395	7.092	7.493	6.198	7.204
MSR1	8.465	9.273	9.807	9.312	9.698	8.867	9.949	9.23	9.1	9.79	9.048	9.782	9.859	9.072	9.371	10.36	9.744	9.215	9.549	10.471	8.767	9.663	9.532	9.387
MST1R	7.772	7.861	8.512	7.001	6.591	8.838	6.913	8.995	7.551	7.332	8.473	7.434	7.986	8.044	7.821	7.598	7.63	8.732	7.808	7.705	7.503	7.32	6.959	7.42
MTMR14	10.123	9.648	8.83	9.674	9.724	8.734	10.01	9.79	9.682	9.971	9.087	9.303	9.536	9.407	10.166	8.846	9.542	9.582	9.929	9.74	10.041	9.92	9.694	9.69
